cap-shape,cap-color,bruises,stalk-shape,stalk-color-above-ring,stalk-color-below-ring,ring-number,spore-print-color,population,habitat,class
x,n,t,e,w,w,o,k,s,u,p
x,y,t,e,w,w,o,n,n,g,e
b,w,t,e,w,w,o,n,n,m,e
x,w,t,e,w,w,o,k,s,u,p
x,g,f,t,w,w,o,n,a,g,e
x,y,t,e,w,w,o,k,n,g,e
b,w,t,e,w,w,o,k,n,m,e
b,w,t,e,w,w,o,n,s,m,e
x,w,t,e,w,w,o,k,v,g,p
b,y,t,e,w,w,o,k,s,m,e
x,y,t,e,w,w,o,n,n,g,e
x,y,t,e,w,w,o,k,s,m,e
b,y,t,e,w,w,o,n,s,g,e
x,w,t,e,w,w,o,n,v,u,p
x,n,f,t,w,w,o,k,a,g,e
s,g,f,e,w,w,o,n,y,u,e
f,w,f,t,w,w,o,n,a,g,e
x,n,t,e,w,w,o,k,s,g,p
x,w,t,e,w,w,o,n,s,u,p
x,n,t,e,w,w,o,n,s,u,p
b,y,t,e,w,w,o,n,s,m,e
x,n,t,e,w,w,o,n,v,g,p
b,y,t,e,w,w,o,n,s,m,e
b,w,t,e,w,w,o,n,n,m,e
b,w,t,e,w,w,o,k,s,m,e
f,w,t,e,w,w,o,n,v,g,p
x,y,t,e,w,w,o,n,n,m,e
x,w,t,e,w,w,o,n,n,m,e
f,n,f,e,w,w,o,k,y,u,e
x,y,t,t,w,w,o,n,v,d,e
b,y,t,e,w,w,o,n,n,m,e
x,w,t,e,w,w,o,n,s,u,p
x,y,t,e,w,w,o,n,n,m,e
x,n,t,e,w,w,o,n,y,p,e
b,y,t,e,w,w,o,n,s,m,e
x,y,t,t,w,w,o,n,v,d,e
s,g,f,e,w,w,o,k,v,u,e
x,n,t,e,w,w,o,n,s,u,p
x,y,t,t,w,w,o,n,v,d,e
b,y,t,e,w,w,o,k,s,m,e
b,y,t,e,w,w,o,n,s,g,e
x,y,t,e,w,w,o,k,y,p,e
x,n,f,e,w,w,o,k,y,u,e
x,w,t,e,w,w,o,n,v,g,p
x,y,t,e,w,w,o,k,n,m,e
x,w,t,e,w,w,o,n,n,g,e
x,y,t,e,w,w,o,k,s,m,e
x,w,t,e,w,w,o,n,n,m,e
x,y,t,e,w,w,o,n,s,p,e
f,y,t,e,w,w,o,k,s,p,e
x,n,t,e,w,w,o,k,s,g,e
x,w,t,e,w,w,o,k,s,g,e
b,w,t,e,w,w,o,n,n,m,e
x,n,t,e,w,w,o,n,v,u,p
x,w,t,e,w,w,o,k,v,u,p
b,y,t,e,w,w,o,k,s,m,e
f,g,f,t,w,w,o,n,a,g,e
b,w,t,e,w,w,o,n,n,g,e
x,y,t,e,w,w,o,k,n,g,e
x,n,t,e,w,w,o,k,y,p,e
